?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"response to wounding"	<http://purl.obolibrary.org/obo/GO_0009611>	7	572	0.012237762237762237762237
"negative regulation of G1/S transition of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_2000134>	1	82	0.012195121951219512195121
"regulation of glucose import"	<http://purl.obolibrary.org/obo/GO_0046324>	1	82	0.012195121951219512195121
"antigen processing and presentation of peptide antigen"	<http://purl.obolibrary.org/obo/GO_0048002>	3	248	0.012096774193548387096774
"embryonic heart tube development"	<http://purl.obolibrary.org/obo/GO_0035050>	1	83	0.012048192771084337349397
"maternal process involved in female pregnancy"	<http://purl.obolibrary.org/obo/GO_0060135>	1	83	0.012048192771084337349397
"protein lipidation"	<http://purl.obolibrary.org/obo/GO_0006497>	2	166	0.012048192771084337349397
"regulation of epithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0030856>	2	166	0.012048192771084337349397
"intracellular protein transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0065002>	1	84	0.011904761904761904761904
"negative regulation of proteolysis involved in cellular protein catabolic process"	<http://purl.obolibrary.org/obo/GO_1903051>	1	84	0.011904761904761904761904
"phosphatidylinositol biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006661>	2	168	0.011904761904761904761904
"positive regulation of potassium ion transport"	<http://purl.obolibrary.org/obo/GO_0043268>	1	84	0.011904761904761904761904
"protein tetramerization"	<http://purl.obolibrary.org/obo/GO_0051262>	3	252	0.011904761904761904761904
"regulation of epidermal growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0042058>	1	84	0.011904761904761904761904
"regulation of translational initiation"	<http://purl.obolibrary.org/obo/GO_0006446>	1	84	0.011904761904761904761904
"visual behavior"	<http://purl.obolibrary.org/obo/GO_0007632>	1	84	0.011904761904761904761904
"protein complex oligomerization"	<http://purl.obolibrary.org/obo/GO_0051259>	10	847	0.011806375442739079102715
"Golgi vesicle budding"	<http://purl.obolibrary.org/obo/GO_0048194>	1	85	0.01176470588235294117647
"gastrulation"	<http://purl.obolibrary.org/obo/GO_0007369>	2	171	0.011695906432748538011695
"microtubule bundle formation"	<http://purl.obolibrary.org/obo/GO_0001578>	2	171	0.011695906432748538011695
"cellular response to peptide hormone stimulus"	<http://purl.obolibrary.org/obo/GO_0071375>	4	344	0.011627906976744186046511
"lipoprotein biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042158>	2	172	0.011627906976744186046511
"negative regulation of calcium ion transport"	<http://purl.obolibrary.org/obo/GO_0051926>	1	86	0.011627906976744186046511
"negative regulation of gene expression, epigenetic"	<http://purl.obolibrary.org/obo/GO_0045814>	1	86	0.011627906976744186046511
"protein targeting to mitochondrion"	<http://purl.obolibrary.org/obo/GO_0006626>	1	86	0.011627906976744186046511
"regulation of cAMP-mediated signaling"	<http://purl.obolibrary.org/obo/GO_0043949>	1	86	0.011627906976744186046511
"regulation of neuron death"	<http://purl.obolibrary.org/obo/GO_1901214>	5	430	0.011627906976744186046511
"regulation of synaptic transmission, glutamatergic"	<http://purl.obolibrary.org/obo/GO_0051966>	1	86	0.011627906976744186046511
"response to gamma radiation"	<http://purl.obolibrary.org/obo/GO_0010332>	1	86	0.011627906976744186046511
"response to interleukin-1"	<http://purl.obolibrary.org/obo/GO_0070555>	2	173	0.011560693641618497109826
"DNA biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0071897>	2	174	0.011494252873563218390804
"cortical actin cytoskeleton organization"	<http://purl.obolibrary.org/obo/GO_0030866>	1	87	0.011494252873563218390804
"photoreceptor cell development"	<http://purl.obolibrary.org/obo/GO_0042461>	1	87	0.011494252873563218390804
"positive regulation of macroautophagy"	<http://purl.obolibrary.org/obo/GO_0016239>	1	87	0.011494252873563218390804
"regulation of cell growth"	<http://purl.obolibrary.org/obo/GO_0001558>	7	609	0.011494252873563218390804
"meiotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0051321>	4	351	0.011396011396011396011396
"anion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0098656>	9	790	0.011392405063291139240506
"cellular response to antibiotic"	<http://purl.obolibrary.org/obo/GO_0071236>	2	176	0.011363636363636363636363
"regulation of mitochondrion organization"	<http://purl.obolibrary.org/obo/GO_0010821>	2	176	0.011363636363636363636363
"regulation of stem cell proliferation"	<http://purl.obolibrary.org/obo/GO_0072091>	1	88	0.011363636363636363636363
"signal transduction in response to DNA damage"	<http://purl.obolibrary.org/obo/GO_0042770>	1	88	0.011363636363636363636363
"regulation of muscle contraction"	<http://purl.obolibrary.org/obo/GO_0006937>	3	267	0.011235955056179775280898
"regulation of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0007346>	8	715	0.011188811188811188811188
"ammonium transport"	<http://purl.obolibrary.org/obo/GO_0015696>	1	90	0.011111111111111111111111
"mRNA transport"	<http://purl.obolibrary.org/obo/GO_0051028>	2	180	0.011111111111111111111111
"mesenchymal cell differentiation"	<http://purl.obolibrary.org/obo/GO_0048762>	2	180	0.011111111111111111111111
"regulation of steroid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0050810>	1	90	0.011111111111111111111111
"inositol phosphate metabolic process"	<http://purl.obolibrary.org/obo/GO_0043647>	1	91	0.010989010989010989010989
"mRNA catabolic process"	<http://purl.obolibrary.org/obo/GO_0006402>	2	182	0.010989010989010989010989
"positive regulation of actin filament bundle assembly"	<http://purl.obolibrary.org/obo/GO_0032233>	1	91	0.010989010989010989010989
"positive regulation of cysteine-type endopeptidase activity"	<http://purl.obolibrary.org/obo/GO_2001056>	2	182	0.010989010989010989010989
"complement activation"	<http://purl.obolibrary.org/obo/GO_0006956>	4	365	0.01095890410958904109589
"cellular response to reactive oxygen species"	<http://purl.obolibrary.org/obo/GO_0034614>	2	184	0.010869565217391304347826
"DNA repair"	<http://purl.obolibrary.org/obo/GO_0006281>	10	926	0.010799136069114470842332
"cardiac muscle tissue morphogenesis"	<http://purl.obolibrary.org/obo/GO_0055008>	1	93	0.010752688172043010752688
"ionotropic glutamate receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035235>	1	93	0.010752688172043010752688
"mesenchymal cell development"	<http://purl.obolibrary.org/obo/GO_0014031>	1	93	0.010752688172043010752688
"negative regulation of lymphocyte activation"	<http://purl.obolibrary.org/obo/GO_0051250>	2	186	0.010752688172043010752688
"negative regulation of peptide hormone secretion"	<http://purl.obolibrary.org/obo/GO_0090278>	1	93	0.010752688172043010752688
"positive regulation of DNA repair"	<http://purl.obolibrary.org/obo/GO_0045739>	1	93	0.010752688172043010752688
"organelle disassembly"	<http://purl.obolibrary.org/obo/GO_1903008>	1	95	0.010526315789473684210526
"response to estradiol"	<http://purl.obolibrary.org/obo/GO_0032355>	2	190	0.010526315789473684210526
"response to reactive oxygen species"	<http://purl.obolibrary.org/obo/GO_0000302>	3	286	0.010489510489510489510489
"actin-mediated cell contraction"	<http://purl.obolibrary.org/obo/GO_0070252>	1	96	0.010416666666666666666666
"endoplasmic reticulum to Golgi vesicle-mediated transport"	<http://purl.obolibrary.org/obo/GO_0006888>	2	192	0.010416666666666666666666
"hair cycle process"	<http://purl.obolibrary.org/obo/GO_0022405>	1	96	0.010416666666666666666666
"oogenesis"	<http://purl.obolibrary.org/obo/GO_0048477>	1	96	0.010416666666666666666666
"regulation of Wnt signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030111>	4	384	0.010416666666666666666666
"regulation of heart growth"	<http://purl.obolibrary.org/obo/GO_0060420>	1	96	0.010416666666666666666666
"methylation"	<http://purl.obolibrary.org/obo/GO_0032259>	7	675	0.01037037037037037037037
"cell morphogenesis"	<http://purl.obolibrary.org/obo/GO_0000902>	10	969	0.010319917440660474716202
"negative regulation of myeloid cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045638>	1	97	0.010309278350515463917525
"positive regulation of NIK/NF-kappaB signaling"	<http://purl.obolibrary.org/obo/GO_1901224>	1	97	0.010309278350515463917525
"positive regulation of regulated secretory pathway"	<http://purl.obolibrary.org/obo/GO_1903307>	1	97	0.010309278350515463917525
"regulation of cellular response to oxidative stress"	<http://purl.obolibrary.org/obo/GO_1900407>	1	97	0.010309278350515463917525
"antigen processing and presentation of peptide antigen via MHC class I"	<http://purl.obolibrary.org/obo/GO_0002474>	2	195	0.010256410256410256410256
"actin filament capping"	<http://purl.obolibrary.org/obo/GO_0051693>	1	98	0.010204081632653061224489
"ovulation cycle"	<http://purl.obolibrary.org/obo/GO_0042698>	1	98	0.010204081632653061224489
"sphingolipid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0030148>	1	98	0.010204081632653061224489
"mitochondrion organization"	<http://purl.obolibrary.org/obo/GO_0007005>	6	590	0.010169491525423728813559
"cellular response to UV"	<http://purl.obolibrary.org/obo/GO_0034644>	1	99	0.010101010101010101010101
"regulation of intracellular steroid hormone receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0033143>	1	99	0.010101010101010101010101
"regulation of potassium ion transmembrane transporter activity"	<http://purl.obolibrary.org/obo/GO_1901016>	1	99	0.010101010101010101010101
"positive regulation of cell cycle"	<http://purl.obolibrary.org/obo/GO_0045787>	5	496	0.010080645161290322580645
"pattern specification process"	<http://purl.obolibrary.org/obo/GO_0007389>	5	498	0.010040160642570281124497
"inner ear receptor cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060113>	1	100	0.01
"phospholipid dephosphorylation"	<http://purl.obolibrary.org/obo/GO_0046839>	1	100	0.01
"regulation of canonical Wnt signaling pathway"	<http://purl.obolibrary.org/obo/GO_0060828>	3	300	0.01
"regulation of mitotic metaphase/anaphase transition"	<http://purl.obolibrary.org/obo/GO_0030071>	1	100	0.01
"response to insulin"	<http://purl.obolibrary.org/obo/GO_0032868>	3	300	0.01
"organic acid transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1903825>	3	301	0.009966777408637873754152
"chromatin remodeling"	<http://purl.obolibrary.org/obo/GO_0006338>	3	302	0.009933774834437086092715
"gliogenesis"	<http://purl.obolibrary.org/obo/GO_0042063>	3	303	0.009900990099009900990099
"mitotic cytokinesis"	<http://purl.obolibrary.org/obo/GO_0000281>	1	101	0.009900990099009900990099
"myofibril assembly"	<http://purl.obolibrary.org/obo/GO_0030239>	1	101	0.009900990099009900990099
"response to cytokine"	<http://purl.obolibrary.org/obo/GO_0034097>	13	1319	0.009855951478392721758908
"telencephalon cell migration"	<http://purl.obolibrary.org/obo/GO_0022029>	1	102	0.009803921568627450980392
"regulation of neuron apoptotic process"	<http://purl.obolibrary.org/obo/GO_0043523>	3	307	0.009771986970684039087947
"positive regulation of hormone secretion"	<http://purl.obolibrary.org/obo/GO_0046887>	2	205	0.009756097560975609756097
"intrinsic apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_0097193>	2	206	0.009708737864077669902912
"lipid oxidation"	<http://purl.obolibrary.org/obo/GO_0034440>	1	103	0.009708737864077669902912
"regulation of cardiac muscle contraction"	<http://purl.obolibrary.org/obo/GO_0055117>	1	103	0.009708737864077669902912
"regulation of glucose transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0010827>	1	103	0.009708737864077669902912
"regulation of multicellular organism growth"	<http://purl.obolibrary.org/obo/GO_0040014>	1	103	0.009708737864077669902912
"neuron differentiation"	<http://purl.obolibrary.org/obo/GO_0030182>	14	1446	0.009681881051175656984785
"positive regulation of protein tyrosine kinase activity"	<http://purl.obolibrary.org/obo/GO_0061098>	1	104	0.009615384615384615384615
"regulation of cell cycle"	<http://purl.obolibrary.org/obo/GO_0051726>	15	1567	0.009572431397574984045947
"positive regulation of lipid metabolic process"	<http://purl.obolibrary.org/obo/GO_0045834>	2	209	0.009569377990430622009569
"forebrain cell migration"	<http://purl.obolibrary.org/obo/GO_0021885>	1	105	0.009523809523809523809523
"negative regulation of transporter activity"	<http://purl.obolibrary.org/obo/GO_0032410>	1	105	0.009523809523809523809523
"animal organ regeneration"	<http://purl.obolibrary.org/obo/GO_0031100>	1	106	0.009433962264150943396226
"negative regulation of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0045930>	3	318	0.009433962264150943396226
"blood vessel morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048514>	5	533	0.009380863039399624765478
"epithelial cell migration"	<http://purl.obolibrary.org/obo/GO_0010631>	1	107	0.009345794392523364485981
"mesonephric epithelium development"	<http://purl.obolibrary.org/obo/GO_0072163>	1	107	0.009345794392523364485981
"axonogenesis"	<http://purl.obolibrary.org/obo/GO_0007409>	4	430	0.009302325581395348837209
"lymphocyte proliferation"	<http://purl.obolibrary.org/obo/GO_0046651>	1	108	0.009259259259259259259259
"protein localization to mitochondrion"	<http://purl.obolibrary.org/obo/GO_0070585>	1	108	0.009259259259259259259259
"regulation of ATPase activity"	<http://purl.obolibrary.org/obo/GO_0043462>	1	108	0.009259259259259259259259
"regulation of GTPase activity"	<http://purl.obolibrary.org/obo/GO_0043087>	9	972	0.009259259259259259259259
"humoral immune response mediated by circulating immunoglobulin"	<http://purl.obolibrary.org/obo/GO_0002455>	3	326	0.009202453987730061349693
"cellular aldehyde metabolic process"	<http://purl.obolibrary.org/obo/GO_0006081>	1	109	0.009174311926605504587155
"positive regulation of muscle cell differentiation"	<http://purl.obolibrary.org/obo/GO_0051149>	1	109	0.009174311926605504587155
"vesicle budding from membrane"	<http://purl.obolibrary.org/obo/GO_0006900>	1	109	0.009174311926605504587155
"sulfur compound metabolic process"	<http://purl.obolibrary.org/obo/GO_0006790>	4	437	0.009153318077803203661327
"embryo development"	<http://purl.obolibrary.org/obo/GO_0009790>	12	1312	0.009146341463414634146341
"developmental growth"	<http://purl.obolibrary.org/obo/GO_0048589>	5	548	0.009124087591240875912408
"hippocampus development"	<http://purl.obolibrary.org/obo/GO_0021766>	1	110	0.00909090909090909090909
"mitochondrial transport"	<http://purl.obolibrary.org/obo/GO_0006839>	2	220	0.00909090909090909090909
"animal organ morphogenesis"	<http://purl.obolibrary.org/obo/GO_0009887>	11	1211	0.009083402146985962014863
"protein localization to endoplasmic reticulum"	<http://purl.obolibrary.org/obo/GO_0070972>	1	111	0.009009009009009009009009
"growth"	<http://purl.obolibrary.org/obo/GO_0040007>	5	557	0.008976660682226211849192
"response to steroid hormone"	<http://purl.obolibrary.org/obo/GO_0048545>	5	559	0.008944543828264758497316
"artery development"	<http://purl.obolibrary.org/obo/GO_0060840>	1	112	0.008928571428571428571428
"hormone secretion"	<http://purl.obolibrary.org/obo/GO_0046879>	1	112	0.008928571428571428571428
"protein import"	<http://purl.obolibrary.org/obo/GO_0017038>	2	224	0.008928571428571428571428
"proteoglycan metabolic process"	<http://purl.obolibrary.org/obo/GO_0006029>	1	112	0.008928571428571428571428
"regulation of BMP signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030510>	1	112	0.008928571428571428571428
"regulation of release of sequestered calcium ion into cytosol"	<http://purl.obolibrary.org/obo/GO_0051279>	1	112	0.008928571428571428571428
"regulation of smooth muscle cell migration"	<http://purl.obolibrary.org/obo/GO_0014910>	1	112	0.008928571428571428571428
